MLP vs CNN CIFAR-10 Results
==================================================

MLP Test Loss: 2.8134
MLP Test Accuracy: 37.33%
MLP Training Time: 7.89 seconds

CNN Test Loss: 3.0754
CNN Test Accuracy: 55.00%
CNN Training Time: 33.87 seconds

Per-Class Accuracy
--------------------------------------------------
Class                   MLP         CNN
airplane             50.00%      53.33%
automobile           43.33%      66.67%
bird                 26.67%      46.67%
cat                  28.33%      41.67%
deer                 21.67%      31.67%
dog                  23.33%      53.33%
frog                 53.33%      75.00%
horse                41.67%      63.33%
ship                 45.00%      63.33%
truck                40.00%      55.00%
