MLP vs CNN CIFAR-10 Results
==================================================

MLP Test Loss: 2.8851
MLP Test Accuracy: 31.17%
MLP Training Time: 5.51 seconds

CNN Test Loss: 1.8663
CNN Test Accuracy: 34.00%
CNN Training Time: 23.88 seconds

Per-Class Accuracy
--------------------------------------------------
Class                   MLP         CNN
airplane             26.67%      55.00%
automobile           43.33%      41.67%
bird                 36.67%      11.67%
cat                  30.00%      20.00%
deer                  6.67%      51.67%
dog                   1.67%      21.67%
frog                 38.33%      21.67%
horse                36.67%      30.00%
ship                 55.00%      40.00%
truck                36.67%      46.67%
